Name,Periastron,Semimajor Axis,Apastron,Eccentricity,Period,Diameter
Leonteus,4.7540,5.2290,5.7000,0.09080,12.0000 years,112.046 km
Pholus,8.6290,20.2900,31.9500,0.57470,91.4000 years,190 km
Chariklo,13.0470,15.7300,18.4200,0.17080,62.4000 years,302 km
15789 (1993 SC),32.4000,39.6800,46.9700,0.18350,250.0000 years,328 km
Typhon,17.4790,37.7800,58.0800,0.53730,232.0000 years,192 km
Bienor,13.1890,16.6000,20.0200,0.20560,67.7000 years,187.5 km
Amycus,15.1400,24.9400,34.7400,0.39300,125.0000 years,100.9 km
95626 (2002 GZ32),17.9940,22.9900,27.9800,0.21720,110.0000 years,230.5 km
127546 (2002 XU93),21.0040,67.1100,113.2200,0.68700,550.0000 years,170 km
136204 (2003 WL7),14.9820,20.2200,25.4600,0.25920,90.9000 years,118 km
310071 (2010 KR59),12.9490,29.8700,46.7900,0.56650,163.0000 years,110.06 km
762135 (2010 WG9),18.8030,53.4600,88.1200,0.64830,391.0000 years,112.7 km
Lutetia,2.0300,2.4300,2.8400,0.16500,3.8056 years,98 km
Mathilde,1.9500,2.6500,3.3500,0.26400,4.2984 years,52.8 km
Ida,2.7300,2.8600,3.0000,0.04610,4.8460 years,32 km
Gaspra,1.8300,2.2100,2.5900,0.17400,3.2854 years,12.2 km
Steins,2.0200,2.3600,2.7100,0.14700,3.6413 years,5.16 km
Ryugu,0.9630,1.1900,1.4200,0.19100,1.3005 years,0.896 km
Bennu,0.8970,1.1300,1.3600,0.20400,1.1964 years,0.48444 km
Apophis,0.7460,0.9220,1.1000,0.19100,0.8871 years,0.34 km
Itokawa,0.9530,1.3200,1.7000,0.28000,1.5222 years,0.33 km
